Season,Date
2001-2002,2002-03-15
2002-2003,2003-03-23
2003-2004,2004-03-20
2004-2005,2005-03-19
2005-2006,2006-03-18
2006-2007,2007-03-17
2007-2008,2008-03-22
2008-2009,2009-03-21
2009-2010,2010-03-20
2010-2011,2011-03-19
2011-2012,2012-03-17
2012-2013,2013-03-23
2013-2014,2014-03-22
2014-2015,2015-03-20
2015-2016,2016-03-18
2016-2017,2017-03-17
2017-2018,2018-03-16
