"","Season","School"
"1","1984-1985","Air Force"
"2","1984-1985","Akron"
"3","1984-1985","Alabama"
"4","1984-1985","Alabama-Birmingham"
"5","1984-1985","Alabama State"
"6","1984-1985","Alcorn State"
"7","1984-1985","American"
"8","1984-1985","Appalachian State"
"9","1984-1985","Arizona"
"10","1984-1985","Arizona State"
"11","1984-1985","Arkansas"
"12","1984-1985","Arkansas State"
"13","1984-1985","Army"
"14","1984-1985","Auburn"
"15","1984-1985","Augusta State"
"16","1984-1985","Austin Peay"
"17","1984-1985","Ball State"
"18","1984-1985","Baylor"
"19","1984-1985","Bethune-Cookman"
"20","1984-1985","Boise State"
"21","1984-1985","Boston College"
"22","1984-1985","Boston University"
"23","1984-1985","Bowling Green State"
"24","1984-1985","Bradley"
"25","1984-1985","Brigham Young"
"26","1984-1985","Brooklyn"
"27","1984-1985","Brown"
"28","1984-1985","Bucknell"
"29","1984-1985","Butler"
"30","1984-1985","Cal State Fullerton"
"31","1984-1985","Campbell"
"32","1984-1985","Canisius"
"33","1984-1985","Centenary (LA)"
"34","1984-1985","Central Florida"
"35","1984-1985","Central Michigan"
"36","1984-1985","Charleston Southern"
"37","1984-1985","Charlotte"
"38","1984-1985","Chattanooga"
"39","1984-1985","Chicago State"
"40","1984-1985","Cincinnati"
"41","1984-1985","Citadel"
"42","1984-1985","Clemson"
"43","1984-1985","Cleveland State"
"44","1984-1985","Colgate"
"45","1984-1985","Colorado"
"46","1984-1985","Colorado State"
"47","1984-1985","Columbia"
"48","1984-1985","Connecticut"
"49","1984-1985","Cornell"
"50","1984-1985","Creighton"
"51","1984-1985","Dartmouth"
"52","1984-1985","Davidson"
"53","1984-1985","Dayton"
"54","1984-1985","Delaware"
"55","1984-1985","Delaware State"
"56","1984-1985","DePaul"
"57","1984-1985","Detroit Mercy"
"58","1984-1985","Drake"
"59","1984-1985","Drexel"
"60","1984-1985","Duke"
"61","1984-1985","Duquesne"
"62","1984-1985","East Carolina"
"63","1984-1985","East Tennessee State"
"64","1984-1985","Eastern Illinois"
"65","1984-1985","Eastern Kentucky"
"66","1984-1985","Eastern Michigan"
"67","1984-1985","Eastern Washington"
"68","1984-1985","Evansville"
"69","1984-1985","Fairfield"
"70","1984-1985","Fairleigh Dickinson"
"71","1984-1985","Florida"
"72","1984-1985","Florida A&M"
"73","1984-1985","Florida State"
"74","1984-1985","Fordham"
"75","1984-1985","Fresno State"
"76","1984-1985","Furman"
"77","1984-1985","George Mason"
"78","1984-1985","George Washington"
"79","1984-1985","Georgetown"
"80","1984-1985","Georgia"
"81","1984-1985","Georgia Southern"
"82","1984-1985","Georgia State"
"83","1984-1985","Georgia Tech"
"84","1984-1985","Gonzaga"
"85","1984-1985","Grambling"
"86","1984-1985","Green Bay"
"87","1984-1985","Hardin-Simmons"
"88","1984-1985","Hartford"
"89","1984-1985","Harvard"
"90","1984-1985","Hawaii"
"91","1984-1985","Hofstra"
"92","1984-1985","Holy Cross"
"93","1984-1985","Houston"
"94","1984-1985","Houston Baptist"
"95","1984-1985","Howard"
"96","1984-1985","Idaho"
"97","1984-1985","Idaho State"
"98","1984-1985","Illinois"
"99","1984-1985","Illinois-Chicago"
"100","1984-1985","Illinois State"
"101","1984-1985","Indiana"
"102","1984-1985","Indiana State"
"103","1984-1985","Iona"
"104","1984-1985","Iowa"
"105","1984-1985","Iowa State"
"106","1984-1985","Jackson State"
"107","1984-1985","Jacksonville"
"108","1984-1985","James Madison"
"109","1984-1985","Kansas"
"110","1984-1985","Kansas State"
"111","1984-1985","Kent State"
"112","1984-1985","Kentucky"
"113","1984-1985","La Salle"
"114","1984-1985","Lafayette"
"115","1984-1985","Lamar"
"116","1984-1985","Lehigh"
"117","1984-1985","Little Rock"
"118","1984-1985","Long Beach State"
"119","1984-1985","Long Island University"
"120","1984-1985","Louisiana"
"121","1984-1985","Louisiana-Monroe"
"122","1984-1985","Louisiana State"
"123","1984-1985","Louisiana Tech"
"124","1984-1985","Louisville"
"125","1984-1985","Loyola (IL)"
"126","1984-1985","Loyola (MD)"
"127","1984-1985","Loyola Marymount"
"128","1984-1985","Maine"
"129","1984-1985","Manhattan"
"130","1984-1985","Marist"
"131","1984-1985","Marquette"
"132","1984-1985","Marshall"
"133","1984-1985","Maryland"
"134","1984-1985","Maryland-Eastern Shore"
"135","1984-1985","Massachusetts"
"136","1984-1985","McNeese State"
"137","1984-1985","Memphis"
"138","1984-1985","Mercer"
"139","1984-1985","Miami (OH)"
"140","1984-1985","Michigan"
"141","1984-1985","Michigan State"
"142","1984-1985","Middle Tennessee"
"143","1984-1985","Minnesota"
"144","1984-1985","Mississippi"
"145","1984-1985","Mississippi State"
"146","1984-1985","Mississippi Valley State"
"147","1984-1985","Missouri"
"148","1984-1985","Missouri State"
"149","1984-1985","Monmouth"
"150","1984-1985","Montana"
"151","1984-1985","Montana State"
"152","1984-1985","Morehead State"
"153","1984-1985","Morgan State"
"154","1984-1985","Murray State"
"155","1984-1985","Navy"
"156","1984-1985","Nebraska"
"157","1984-1985","Nevada"
"158","1984-1985","Nevada-Las Vegas"
"159","1984-1985","New Hampshire"
"160","1984-1985","New Mexico"
"161","1984-1985","New Mexico State"
"162","1984-1985","New Orleans"
"163","1984-1985","Niagara"
"164","1984-1985","Nicholls State"
"165","1984-1985","North Carolina"
"166","1984-1985","North Carolina-Wilmington"
"167","1984-1985","North Carolina A&T"
"168","1984-1985","North Carolina State"
"169","1984-1985","North Texas"
"170","1984-1985","Northeastern"
"171","1984-1985","Northern Arizona"
"172","1984-1985","Northern Illinois"
"173","1984-1985","Northern Iowa"
"174","1984-1985","Northwestern"
"175","1984-1985","Northwestern State"
"176","1984-1985","Notre Dame"
"177","1984-1985","Ohio"
"178","1984-1985","Ohio State"
"179","1984-1985","Oklahoma"
"180","1984-1985","Oklahoma City"
"181","1984-1985","Oklahoma State"
"182","1984-1985","Old Dominion"
"183","1984-1985","Oral Roberts"
"184","1984-1985","Oregon"
"185","1984-1985","Oregon State"
"186","1984-1985","Pacific"
"187","1984-1985","Penn State"
"188","1984-1985","Pennsylvania"
"189","1984-1985","Pepperdine"
"190","1984-1985","Pittsburgh"
"191","1984-1985","Portland"
"192","1984-1985","Prairie View"
"193","1984-1985","Princeton"
"194","1984-1985","Providence"
"195","1984-1985","Purdue"
"196","1984-1985","Radford"
"197","1984-1985","Rhode Island"
"198","1984-1985","Rice"
"199","1984-1985","Richmond"
"200","1984-1985","Rider"
"201","1984-1985","Robert Morris"
"202","1984-1985","Rutgers"
"203","1984-1985","Saint Francis (PA)"
"204","1984-1985","Saint Joseph's"
"205","1984-1985","Saint Louis"
"206","1984-1985","Saint Mary's (CA)"
"207","1984-1985","Saint Peter's"
"208","1984-1985","Samford"
"209","1984-1985","San Diego"
"210","1984-1985","San Diego State"
"211","1984-1985","San Jose State"
"212","1984-1985","Santa Clara"
"213","1984-1985","Seton Hall"
"214","1984-1985","Siena"
"215","1984-1985","South Alabama"
"216","1984-1985","South Carolina"
"217","1984-1985","South Carolina State"
"218","1984-1985","South Florida"
"219","1984-1985","Southeastern Louisiana"
"220","1984-1985","Southern"
"221","1984-1985","Southern California"
"222","1984-1985","Southern Illinois"
"223","1984-1985","Southern Methodist"
"224","1984-1985","Southern Mississippi"
"225","1984-1985","St. Bonaventure"
"226","1984-1985","St. Francis (NY)"
"227","1984-1985","St. John's (NY)"
"228","1984-1985","Stanford"
"229","1984-1985","Stetson"
"230","1984-1985","Syracuse"
"231","1984-1985","Temple"
"232","1984-1985","Tennessee"
"233","1984-1985","Tennessee State"
"234","1984-1985","Tennessee Tech"
"235","1984-1985","Texas"
"236","1984-1985","Texas-Arlington"
"237","1984-1985","Texas-El Paso"
"238","1984-1985","Texas-Rio Grande Valley"
"239","1984-1985","Texas-San Antonio"
"240","1984-1985","Texas A&M"
"241","1984-1985","Texas Christian"
"242","1984-1985","Texas Southern"
"243","1984-1985","Texas State"
"244","1984-1985","Texas Tech"
"245","1984-1985","Toledo"
"246","1984-1985","Towson"
"247","1984-1985","Tulane"
"248","1984-1985","Tulsa"
"249","1984-1985","U.S. International"
"250","1984-1985","UC-Irvine"
"251","1984-1985","UC-Santa Barbara"
"252","1984-1985","UCLA"
"253","1984-1985","University of California"
"254","1984-1985","Utah"
"255","1984-1985","Utah State"
"256","1984-1985","Utica"
"257","1984-1985","Valparaiso"
"258","1984-1985","Vanderbilt"
"259","1984-1985","Vermont"
"260","1984-1985","Villanova"
"261","1984-1985","Virginia"
"262","1984-1985","Virginia Commonwealth"
"263","1984-1985","Virginia Tech"
"264","1984-1985","VMI"
"265","1984-1985","Wagner"
"266","1984-1985","Wake Forest"
"267","1984-1985","Washington"
"268","1984-1985","Washington State"
"269","1984-1985","Weber State"
"270","1984-1985","West Texas A&M"
"271","1984-1985","West Virginia"
"272","1984-1985","Western Carolina"
"273","1984-1985","Western Illinois"
"274","1984-1985","Western Kentucky"
"275","1984-1985","Western Michigan"
"276","1984-1985","Wichita State"
"277","1984-1985","William & Mary"
"278","1984-1985","Wisconsin"
"279","1984-1985","Wyoming"
"280","1984-1985","Xavier"
"281","1984-1985","Yale"
"282","1984-1985","Youngstown State"
"283","1985-1986","Air Force"
"284","1985-1986","Akron"
"285","1985-1986","Alabama"
"286","1985-1986","Alabama-Birmingham"
"287","1985-1986","Alabama State"
"288","1985-1986","Alcorn State"
"289","1985-1986","American"
"290","1985-1986","Appalachian State"
"291","1985-1986","Arizona"
"292","1985-1986","Arizona State"
"293","1985-1986","Arkansas"
"294","1985-1986","Arkansas State"
"295","1985-1986","Army"
"296","1985-1986","Auburn"
"297","1985-1986","Augusta State"
"298","1985-1986","Austin Peay"
"299","1985-1986","Ball State"
"300","1985-1986","Baylor"
"301","1985-1986","Bethune-Cookman"
"302","1985-1986","Boise State"
"303","1985-1986","Boston College"
"304","1985-1986","Boston University"
"305","1985-1986","Bowling Green State"
"306","1985-1986","Bradley"
"307","1985-1986","Brigham Young"
"308","1985-1986","Brooklyn"
"309","1985-1986","Brown"
"310","1985-1986","Bucknell"
"311","1985-1986","Butler"
"312","1985-1986","Cal State Fullerton"
"313","1985-1986","Campbell"
"314","1985-1986","Canisius"
"315","1985-1986","Centenary (LA)"
"316","1985-1986","Central Florida"
"317","1985-1986","Central Michigan"
"318","1985-1986","Charleston Southern"
"319","1985-1986","Charlotte"
"320","1985-1986","Chattanooga"
"321","1985-1986","Chicago State"
"322","1985-1986","Cincinnati"
"323","1985-1986","Citadel"
"324","1985-1986","Clemson"
"325","1985-1986","Cleveland State"
"326","1985-1986","Colgate"
"327","1985-1986","Colorado"
"328","1985-1986","Colorado State"
"329","1985-1986","Columbia"
"330","1985-1986","Connecticut"
"331","1985-1986","Coppin State"
"332","1985-1986","Cornell"
"333","1985-1986","Creighton"
"334","1985-1986","Dartmouth"
"335","1985-1986","Davidson"
"336","1985-1986","Dayton"
"337","1985-1986","Delaware"
"338","1985-1986","Delaware State"
"339","1985-1986","DePaul"
"340","1985-1986","Detroit Mercy"
"341","1985-1986","Drake"
"342","1985-1986","Drexel"
"343","1985-1986","Duke"
"344","1985-1986","Duquesne"
"345","1985-1986","East Carolina"
"346","1985-1986","East Tennessee State"
"347","1985-1986","Eastern Illinois"
"348","1985-1986","Eastern Kentucky"
"349","1985-1986","Eastern Michigan"
"350","1985-1986","Eastern Washington"
"351","1985-1986","Evansville"
"352","1985-1986","Fairfield"
"353","1985-1986","Fairleigh Dickinson"
"354","1985-1986","Florida"
"355","1985-1986","Florida A&M"
"356","1985-1986","Florida State"
"357","1985-1986","Fordham"
"358","1985-1986","Fresno State"
"359","1985-1986","Furman"
"360","1985-1986","George Mason"
"361","1985-1986","George Washington"
"362","1985-1986","Georgetown"
"363","1985-1986","Georgia"
"364","1985-1986","Georgia Southern"
"365","1985-1986","Georgia State"
"366","1985-1986","Georgia Tech"
"367","1985-1986","Gonzaga"
"368","1985-1986","Grambling"
"369","1985-1986","Green Bay"
"370","1985-1986","Hardin-Simmons"
"371","1985-1986","Hartford"
"372","1985-1986","Harvard"
"373","1985-1986","Hawaii"
"374","1985-1986","Hofstra"
"375","1985-1986","Holy Cross"
"376","1985-1986","Houston"
"377","1985-1986","Houston Baptist"
"378","1985-1986","Howard"
"379","1985-1986","Idaho"
"380","1985-1986","Idaho State"
"381","1985-1986","Illinois"
"382","1985-1986","Illinois-Chicago"
"383","1985-1986","Illinois State"
"384","1985-1986","Indiana"
"385","1985-1986","Indiana State"
"386","1985-1986","Iona"
"387","1985-1986","Iowa"
"388","1985-1986","Iowa State"
"389","1985-1986","Jackson State"
"390","1985-1986","Jacksonville"
"391","1985-1986","James Madison"
"392","1985-1986","Kansas"
"393","1985-1986","Kansas State"
"394","1985-1986","Kent State"
"395","1985-1986","Kentucky"
"396","1985-1986","La Salle"
"397","1985-1986","Lafayette"
"398","1985-1986","Lamar"
"399","1985-1986","Lehigh"
"400","1985-1986","Little Rock"
"401","1985-1986","Long Beach State"
"402","1985-1986","Long Island University"
"403","1985-1986","Louisiana"
"404","1985-1986","Louisiana-Monroe"
"405","1985-1986","Louisiana State"
"406","1985-1986","Louisiana Tech"
"407","1985-1986","Louisville"
"408","1985-1986","Loyola (IL)"
"409","1985-1986","Loyola (MD)"
"410","1985-1986","Loyola Marymount"
"411","1985-1986","Maine"
"412","1985-1986","Manhattan"
"413","1985-1986","Marist"
"414","1985-1986","Marquette"
"415","1985-1986","Marshall"
"416","1985-1986","Maryland"
"417","1985-1986","Maryland-Eastern Shore"
"418","1985-1986","Massachusetts"
"419","1985-1986","McNeese State"
"420","1985-1986","Memphis"
"421","1985-1986","Mercer"
"422","1985-1986","Miami (FL)"
"423","1985-1986","Miami (OH)"
"424","1985-1986","Michigan"
"425","1985-1986","Michigan State"
"426","1985-1986","Middle Tennessee"
"427","1985-1986","Minnesota"
"428","1985-1986","Mississippi"
"429","1985-1986","Mississippi State"
"430","1985-1986","Mississippi Valley State"
"431","1985-1986","Missouri"
"432","1985-1986","Missouri State"
"433","1985-1986","Monmouth"
"434","1985-1986","Montana"
"435","1985-1986","Montana State"
"436","1985-1986","Morehead State"
"437","1985-1986","Morgan State"
"438","1985-1986","Murray State"
"439","1985-1986","Navy"
"440","1985-1986","Nebraska"
"441","1985-1986","Nevada"
"442","1985-1986","Nevada-Las Vegas"
"443","1985-1986","New Hampshire"
"444","1985-1986","New Mexico"
"445","1985-1986","New Mexico State"
"446","1985-1986","New Orleans"
"447","1985-1986","Niagara"
"448","1985-1986","Nicholls State"
"449","1985-1986","North Carolina"
"450","1985-1986","North Carolina-Wilmington"
"451","1985-1986","North Carolina A&T"
"452","1985-1986","North Carolina State"
"453","1985-1986","North Texas"
"454","1985-1986","Northeastern"
"455","1985-1986","Northern Arizona"
"456","1985-1986","Northern Illinois"
"457","1985-1986","Northern Iowa"
"458","1985-1986","Northwestern"
"459","1985-1986","Northwestern State"
"460","1985-1986","Notre Dame"
"461","1985-1986","Ohio"
"462","1985-1986","Ohio State"
"463","1985-1986","Oklahoma"
"464","1985-1986","Oklahoma State"
"465","1985-1986","Old Dominion"
"466","1985-1986","Oral Roberts"
"467","1985-1986","Oregon"
"468","1985-1986","Oregon State"
"469","1985-1986","Pacific"
"470","1985-1986","Penn State"
"471","1985-1986","Pennsylvania"
"472","1985-1986","Pepperdine"
"473","1985-1986","Pittsburgh"
"474","1985-1986","Portland"
"475","1985-1986","Prairie View"
"476","1985-1986","Princeton"
"477","1985-1986","Providence"
"478","1985-1986","Purdue"
"479","1985-1986","Radford"
"480","1985-1986","Rhode Island"
"481","1985-1986","Rice"
"482","1985-1986","Richmond"
"483","1985-1986","Rider"
"484","1985-1986","Robert Morris"
"485","1985-1986","Rutgers"
"486","1985-1986","Saint Francis (PA)"
"487","1985-1986","Saint Joseph's"
"488","1985-1986","Saint Louis"
"489","1985-1986","Saint Mary's (CA)"
"490","1985-1986","Saint Peter's"
"491","1985-1986","Samford"
"492","1985-1986","San Diego"
"493","1985-1986","San Diego State"
"494","1985-1986","San Francisco"
"495","1985-1986","San Jose State"
"496","1985-1986","Santa Clara"
"497","1985-1986","Seton Hall"
"498","1985-1986","Siena"
"499","1985-1986","South Alabama"
"500","1985-1986","South Carolina"
"501","1985-1986","South Carolina State"
"502","1985-1986","South Florida"
"503","1985-1986","Southeastern Louisiana"
"504","1985-1986","Southern"
"505","1985-1986","Southern California"
"506","1985-1986","Southern Illinois"
"507","1985-1986","Southern Methodist"
"508","1985-1986","Southern Mississippi"
"509","1985-1986","St. Bonaventure"
"510","1985-1986","St. Francis (NY)"
"511","1985-1986","St. John's (NY)"
"512","1985-1986","Stanford"
"513","1985-1986","Stetson"
"514","1985-1986","Syracuse"
"515","1985-1986","Temple"
"516","1985-1986","Tennessee"
"517","1985-1986","Tennessee State"
"518","1985-1986","Tennessee Tech"
"519","1985-1986","Texas"
"520","1985-1986","Texas-Arlington"
"521","1985-1986","Texas-El Paso"
"522","1985-1986","Texas-Rio Grande Valley"
"523","1985-1986","Texas-San Antonio"
"524","1985-1986","Texas A&M"
"525","1985-1986","Texas Christian"
"526","1985-1986","Texas Southern"
"527","1985-1986","Texas State"
"528","1985-1986","Texas Tech"
"529","1985-1986","Toledo"
"530","1985-1986","Towson"
"531","1985-1986","Tulsa"
"532","1985-1986","U.S. International"
"533","1985-1986","UC-Irvine"
"534","1985-1986","UC-Santa Barbara"
"535","1985-1986","UCLA"
"536","1985-1986","University of California"
"537","1985-1986","Utah"
"538","1985-1986","Utah State"
"539","1985-1986","Utica"
"540","1985-1986","Valparaiso"
"541","1985-1986","Vanderbilt"
"542","1985-1986","Vermont"
"543","1985-1986","Villanova"
"544","1985-1986","Virginia"
"545","1985-1986","Virginia Commonwealth"
"546","1985-1986","Virginia Tech"
"547","1985-1986","VMI"
"548","1985-1986","Wagner"
"549","1985-1986","Wake Forest"
"550","1985-1986","Washington"
"551","1985-1986","Washington State"
"552","1985-1986","Weber State"
"553","1985-1986","West Texas A&M"
"554","1985-1986","West Virginia"
"555","1985-1986","Western Carolina"
"556","1985-1986","Western Illinois"
"557","1985-1986","Western Kentucky"
"558","1985-1986","Western Michigan"
"559","1985-1986","Wichita State"
"560","1985-1986","William & Mary"
"561","1985-1986","Wisconsin"
"562","1985-1986","Wyoming"
"563","1985-1986","Xavier"
"564","1985-1986","Yale"
"565","1985-1986","Youngstown State"
"566","1986-1987","Air Force"
"567","1986-1987","Akron"
"568","1986-1987","Alabama"
"569","1986-1987","Alabama-Birmingham"
"570","1986-1987","Alabama State"
"571","1986-1987","Alcorn State"
"572","1986-1987","American"
"573","1986-1987","Appalachian State"
"574","1986-1987","Arizona"
"575","1986-1987","Arizona State"
"576","1986-1987","Arkansas"
"577","1986-1987","Arkansas State"
"578","1986-1987","Armstrong"
"579","1986-1987","Army"
"580","1986-1987","Auburn"
"581","1986-1987","Augusta State"
"582","1986-1987","Austin Peay"
"583","1986-1987","Ball State"
"584","1986-1987","Baylor"
"585","1986-1987","Bethune-Cookman"
"586","1986-1987","Boise State"
"587","1986-1987","Boston College"
"588","1986-1987","Boston University"
"589","1986-1987","Bowling Green State"
"590","1986-1987","Bradley"
"591","1986-1987","Brigham Young"
"592","1986-1987","Brooklyn"
"593","1986-1987","Brown"
"594","1986-1987","Bucknell"
"595","1986-1987","Butler"
"596","1986-1987","Cal State Fullerton"
"597","1986-1987","Campbell"
"598","1986-1987","Canisius"
"599","1986-1987","Centenary (LA)"
"600","1986-1987","Central Connecticut State"
"601","1986-1987","Central Florida"
"602","1986-1987","Central Michigan"
"603","1986-1987","Charleston Southern"
"604","1986-1987","Charlotte"
"605","1986-1987","Chattanooga"
"606","1986-1987","Chicago State"
"607","1986-1987","Cincinnati"
"608","1986-1987","Citadel"
"609","1986-1987","Clemson"
"610","1986-1987","Cleveland State"
"611","1986-1987","Coastal Carolina"
"612","1986-1987","Colgate"
"613","1986-1987","Colorado"
"614","1986-1987","Colorado State"
"615","1986-1987","Columbia"
"616","1986-1987","Connecticut"
"617","1986-1987","Coppin State"
"618","1986-1987","Cornell"
"619","1986-1987","Creighton"
"620","1986-1987","Dartmouth"
"621","1986-1987","Davidson"
"622","1986-1987","Dayton"
"623","1986-1987","Delaware"
"624","1986-1987","Delaware State"
"625","1986-1987","DePaul"
"626","1986-1987","Detroit Mercy"
"627","1986-1987","Drake"
"628","1986-1987","Drexel"
"629","1986-1987","Duke"
"630","1986-1987","Duquesne"
"631","1986-1987","East Carolina"
"632","1986-1987","East Tennessee State"
"633","1986-1987","Eastern Illinois"
"634","1986-1987","Eastern Kentucky"
"635","1986-1987","Eastern Michigan"
"636","1986-1987","Eastern Washington"
"637","1986-1987","Evansville"
"638","1986-1987","Fairfield"
"639","1986-1987","Fairleigh Dickinson"
"640","1986-1987","Florida"
"641","1986-1987","Florida A&M"
"642","1986-1987","Florida State"
"643","1986-1987","Fordham"
"644","1986-1987","Fresno State"
"645","1986-1987","Furman"
"646","1986-1987","George Mason"
"647","1986-1987","George Washington"
"648","1986-1987","Georgetown"
"649","1986-1987","Georgia"
"650","1986-1987","Georgia Southern"
"651","1986-1987","Georgia State"
"652","1986-1987","Georgia Tech"
"653","1986-1987","Gonzaga"
"654","1986-1987","Grambling"
"655","1986-1987","Green Bay"
"656","1986-1987","Hardin-Simmons"
"657","1986-1987","Hartford"
"658","1986-1987","Harvard"
"659","1986-1987","Hawaii"
"660","1986-1987","Hofstra"
"661","1986-1987","Holy Cross"
"662","1986-1987","Houston"
"663","1986-1987","Houston Baptist"
"664","1986-1987","Howard"
"665","1986-1987","Idaho"
"666","1986-1987","Idaho State"
"667","1986-1987","Illinois"
"668","1986-1987","Illinois-Chicago"
"669","1986-1987","Illinois State"
"670","1986-1987","Indiana"
"671","1986-1987","Indiana State"
"672","1986-1987","Iona"
"673","1986-1987","Iowa"
"674","1986-1987","Iowa State"
"675","1986-1987","Jackson State"
"676","1986-1987","Jacksonville"
"677","1986-1987","James Madison"
"678","1986-1987","Kansas"
"679","1986-1987","Kansas State"
"680","1986-1987","Kent State"
"681","1986-1987","Kentucky"
"682","1986-1987","La Salle"
"683","1986-1987","Lafayette"
"684","1986-1987","Lamar"
"685","1986-1987","Lehigh"
"686","1986-1987","Little Rock"
"687","1986-1987","Long Beach State"
"688","1986-1987","Long Island University"
"689","1986-1987","Louisiana"
"690","1986-1987","Louisiana-Monroe"
"691","1986-1987","Louisiana State"
"692","1986-1987","Louisiana Tech"
"693","1986-1987","Louisville"
"694","1986-1987","Loyola (IL)"
"695","1986-1987","Loyola (MD)"
"696","1986-1987","Loyola Marymount"
"697","1986-1987","Maine"
"698","1986-1987","Manhattan"
"699","1986-1987","Marist"
"700","1986-1987","Marquette"
"701","1986-1987","Marshall"
"702","1986-1987","Maryland"
"703","1986-1987","Maryland-Baltimore County"
"704","1986-1987","Maryland-Eastern Shore"
"705","1986-1987","Massachusetts"
"706","1986-1987","McNeese State"
"707","1986-1987","Memphis"
"708","1986-1987","Mercer"
"709","1986-1987","Miami (FL)"
"710","1986-1987","Miami (OH)"
"711","1986-1987","Michigan"
"712","1986-1987","Michigan State"
"713","1986-1987","Middle Tennessee"
"714","1986-1987","Minnesota"
"715","1986-1987","Mississippi"
"716","1986-1987","Mississippi State"
"717","1986-1987","Mississippi Valley State"
"718","1986-1987","Missouri"
"719","1986-1987","Missouri State"
"720","1986-1987","Monmouth"
"721","1986-1987","Montana"
"722","1986-1987","Montana State"
"723","1986-1987","Morehead State"
"724","1986-1987","Morgan State"
"725","1986-1987","Murray State"
"726","1986-1987","Navy"
"727","1986-1987","Nebraska"
"728","1986-1987","Nevada"
"729","1986-1987","Nevada-Las Vegas"
"730","1986-1987","New Hampshire"
"731","1986-1987","New Mexico"
"732","1986-1987","New Mexico State"
"733","1986-1987","New Orleans"
"734","1986-1987","Niagara"
"735","1986-1987","Nicholls State"
"736","1986-1987","North Carolina"
"737","1986-1987","North Carolina-Asheville"
"738","1986-1987","North Carolina-Wilmington"
"739","1986-1987","North Carolina A&T"
"740","1986-1987","North Carolina State"
"741","1986-1987","North Texas"
"742","1986-1987","Northeastern"
"743","1986-1987","Northern Arizona"
"744","1986-1987","Northern Illinois"
"745","1986-1987","Northern Iowa"
"746","1986-1987","Northwestern"
"747","1986-1987","Northwestern State"
"748","1986-1987","Notre Dame"
"749","1986-1987","Ohio"
"750","1986-1987","Ohio State"
"751","1986-1987","Oklahoma"
"752","1986-1987","Oklahoma State"
"753","1986-1987","Old Dominion"
"754","1986-1987","Oral Roberts"
"755","1986-1987","Oregon"
"756","1986-1987","Oregon State"
"757","1986-1987","Pacific"
"758","1986-1987","Penn State"
"759","1986-1987","Pennsylvania"
"760","1986-1987","Pepperdine"
"761","1986-1987","Pittsburgh"
"762","1986-1987","Portland"
"763","1986-1987","Prairie View"
"764","1986-1987","Princeton"
"765","1986-1987","Providence"
"766","1986-1987","Purdue"
"767","1986-1987","Radford"
"768","1986-1987","Rhode Island"
"769","1986-1987","Rice"
"770","1986-1987","Richmond"
"771","1986-1987","Rider"
"772","1986-1987","Robert Morris"
"773","1986-1987","Rutgers"
"774","1986-1987","Saint Francis (PA)"
"775","1986-1987","Saint Joseph's"
"776","1986-1987","Saint Louis"
"777","1986-1987","Saint Mary's (CA)"
"778","1986-1987","Saint Peter's"
"779","1986-1987","Sam Houston State"
"780","1986-1987","Samford"
"781","1986-1987","San Diego"
"782","1986-1987","San Diego State"
"783","1986-1987","San Francisco"
"784","1986-1987","San Jose State"
"785","1986-1987","Santa Clara"
"786","1986-1987","Seton Hall"
"787","1986-1987","Siena"
"788","1986-1987","South Alabama"
"789","1986-1987","South Carolina"
"790","1986-1987","South Carolina State"
"791","1986-1987","South Florida"
"792","1986-1987","Southeastern Louisiana"
"793","1986-1987","Southern"
"794","1986-1987","Southern California"
"795","1986-1987","Southern Illinois"
"796","1986-1987","Southern Methodist"
"797","1986-1987","Southern Mississippi"
"798","1986-1987","St. Bonaventure"
"799","1986-1987","St. Francis (NY)"
"800","1986-1987","St. John's (NY)"
"801","1986-1987","Stanford"
"802","1986-1987","Stephen F. Austin"
"803","1986-1987","Stetson"
"804","1986-1987","Syracuse"
"805","1986-1987","Temple"
"806","1986-1987","Tennessee"
"807","1986-1987","Tennessee State"
"808","1986-1987","Tennessee Tech"
"809","1986-1987","Texas"
"810","1986-1987","Texas-Arlington"
"811","1986-1987","Texas-El Paso"
"812","1986-1987","Texas-Rio Grande Valley"
"813","1986-1987","Texas-San Antonio"
"814","1986-1987","Texas A&M"
"815","1986-1987","Texas Christian"
"816","1986-1987","Texas Southern"
"817","1986-1987","Texas State"
"818","1986-1987","Texas Tech"
"819","1986-1987","Toledo"
"820","1986-1987","Towson"
"821","1986-1987","Tulsa"
"822","1986-1987","U.S. International"
"823","1986-1987","UC-Irvine"
"824","1986-1987","UC-Santa Barbara"
"825","1986-1987","UCLA"
"826","1986-1987","University of California"
"827","1986-1987","Utah"
"828","1986-1987","Utah State"
"829","1986-1987","Utica"
"830","1986-1987","Valparaiso"
"831","1986-1987","Vanderbilt"
"832","1986-1987","Vermont"
"833","1986-1987","Villanova"
"834","1986-1987","Virginia"
"835","1986-1987","Virginia Commonwealth"
"836","1986-1987","Virginia Tech"
"837","1986-1987","VMI"
"838","1986-1987","Wagner"
"839","1986-1987","Wake Forest"
"840","1986-1987","Washington"
"841","1986-1987","Washington State"
"842","1986-1987","Weber State"
"843","1986-1987","West Virginia"
"844","1986-1987","Western Carolina"
"845","1986-1987","Western Illinois"
"846","1986-1987","Western Kentucky"
"847","1986-1987","Western Michigan"
"848","1986-1987","Wichita State"
"849","1986-1987","William & Mary"
"850","1986-1987","Winthrop"
"851","1986-1987","Wisconsin"
"852","1986-1987","Wyoming"
"853","1986-1987","Xavier"
"854","1986-1987","Yale"
