"","SS","df","MS","F_stat","p_value"
"(2011-2012) M1","526431.49","343","1534.79","15.21","0"
"(2011-2012) M2|M1","152811.94","1","152811.94","1514.26","0"
"(2011-2012) Residual","493778.57","4893","100.92"," "," "
"(2011-2012) Total","1173022","5237"," "," "," "
"(2012-2013) M1","529205.61","346","1529.5","14.67","0"
"(2012-2013) M2|M1","152643.04","1","152643.04","1463.92","0"
"(2012-2013) Residual","518535.35","4973","104.27"," "," "
"(2012-2013) Total","1200384","5320"," "," "," "
"(2013-2014) M1","495144.37","350","1414.7","13.86","0"
"(2013-2014) M2|M1","133930.59","1","133930.59","1312.12","0"
"(2013-2014) Residual","511584.04","5012","102.07"," "," "
"(2013-2014) Total","1140659","5363"," "," "," "
"(2014-2015) M1","514855.29","350","1471.02","14.4","0"
"(2014-2015) M2|M1","137987.85","1","137987.85","1350.58","0"
"(2014-2015) Residual","511253.86","5004","102.17"," "," "
"(2014-2015) Total","1164097","5355"," "," "," "
"(2015-2016) M1","544227.69","350","1554.94","14.6","0"
"(2015-2016) M2|M1","141915.69","1","141915.69","1332.49","0"
"(2015-2016) Residual","534652.62","5020","106.5"," "," "
"(2015-2016) Total","1220796","5371"," "," "," "
"(2016-2017) M1","561520.25","350","1604.34","14.53","0"
"(2016-2017) M2|M1","135539.81","1","135539.81","1227.75","0"
"(2016-2017) Residual","556953.94","5045","110.4"," "," "
"(2016-2017) Total","1254014","5396"," "," "," "
"(2017-2018) M1","543925.7","350","1554.07","13.74","0"
"(2017-2018) M2|M1","162149.51","1","162149.51","1434.05","0"
"(2017-2018) Residual","572026.79","5059","113.07"," "," "
"(2017-2018) Total","1278102","5410"," "," "," "
"(2018-2019) M1","542700.24","352","1541.76","13.48","0"
"(2018-2019) M2|M1","144538.52","1","144538.52","1263.91","0"
"(2018-2019) Residual","584487.24","5111","114.36"," "," "
"(2018-2019) Total","1271726","5464"," "," "," "
